etape,type,date,jour,depart,arrivee,distance,gpx,photo,auteur,lien
,,,,,,,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/TourDeFrance2015.gpx,,,
1,Contre la montre individuel,Samedi 4 juillet,4,Utrecht,Utrecht,"13,8 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-01UtrechtPrologue.gpx,https://upload.wikimedia.org/wikipedia/commons/8/81/Domtoren_vanaf_de_Stadhuisbrug.JPG,Pepijntje,https://commons.wikimedia.org/wiki/File:Domtoren_vanaf_de_Stadhuisbrug.JPG
2,En ligne,Dimanche 5 juillet,5,Utrecht,Zélande,166 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-02Utrecht-Zeland.gpx,https://upload.wikimedia.org/wikipedia/commons/7/72/Neeltje_Jans_-_Eolienne.jpg,Glaurent,https://commons.wikimedia.org/wiki/File:Neeltje_Jans_-_Eolienne.jpg
3,En ligne,Lundi 6 juillet,6,Anvers,Huy,"159,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-03Anvers-Huy-.gpx,https://upload.wikimedia.org/wikipedia/commons/c/c2/0_Antwerp_town_hall_%281%29.JPG,Jean-Pol GRANDMONT,https://commons.wikimedia.org/wiki/File:0_Antwerp_town_hall_(1).JPG
4,Accidentée,Mardi 7 juillet,7,Seraing,Cambrai,"223,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-04Seraing-Cambrai.gpx,https://upload.wikimedia.org/wikipedia/commons/e/e2/B%C3%AAtises_de_Cambrai.jpg,Bernard Leprêtre,https://commons.wikimedia.org/wiki/File:B%C3%AAtises_de_Cambrai.jpg
5,En ligne,Mercredi 8 juillet,8,Arras Communauté Urbaine,Amiens Métropole,"189,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-05Arras-Amiens.gpx,https://upload.wikimedia.org/wikipedia/commons/2/2c/0_Amiens_-_Cath%C3%A9drale_Notre-Dame_%281%29.JPG,Jean-Pol GRANDMONT,https://commons.wikimedia.org/wiki/File:0_Amiens_-_Cath%C3%A9drale_Notre-Dame_(1).JPG
6,En ligne,Jeudi 9 juillet,9,Abbeville,Le Havre,"191,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-06Abbeville-Le-Harve.gpx,https://upload.wikimedia.org/wikipedia/commons/8/80/Ferry_Le_Havre_2007.jpg,Urban,https://commons.wikimedia.org/wiki/File:Ferry_Le_Havre_2007.jpg
7,En ligne,Vendredi 10 juillet,10,Livarot,Fougères,"190,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-07Livarot-Fougeres.gpx,https://upload.wikimedia.org/wikipedia/commons/9/9a/Livarot_%28fromage%29_02.jpg,Coyau,https://commons.wikimedia.org/wiki/File:Livarot_(fromage)_02.jpg
8,En ligne,Samedi 11 juillet,11,Rennes,Mûr-de-Bretagne,"181,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-08Rennes-MurdeBretagne.gpx,https://farm6.staticflickr.com/5006/5247679275_2f2b16a14a_o.jpg,Alter1fo,https://www.flickr.com/photos/alter1fo/5247679275/
9,Contre la montre par équipes,Dimanche 12 juillet,12,Vannes,Plumelec,28 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-09Vannes-Plumelec.gpx,https://upload.wikimedia.org/wikipedia/commons/5/53/Port_de_Vannes_quai_Eric_Tabarly.jpg,Myrabella,https://commons.wikimedia.org/wiki/File:Port_de_Vannes_quai_Eric_Tabarly.jpg
10,Montagne,Mardi 14 juillet,14,Tarbes,La Pierre-Saint-Martin,167 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-10Tarbes-LaPierreSaintMartin.gpx,https://upload.wikimedia.org/wikipedia/commons/6/6c/TARMAC_and_fields_%28Ossun%2C_Hautes-Pyr%C3%A9n%C3%A9es%2C_France%29.jpg,Florent Pécassou,"https://commons.wikimedia.org/wiki/File:TARMAC_and_fields_(Ossun,_Hautes-Pyr%C3%A9n%C3%A9es,_France).jpg"
11,Montagne,Mercredi 15 juillet,15,Pau,Cauterets - Vallée de Saint-Savin,188 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-11Pau-Cauterets.gpx,https://upload.wikimedia.org/wikipedia/commons/3/33/Lourdes_Basilique_et_gave.jpg,Roland Darré,https://commons.wikimedia.org/wiki/File:Lourdes_Basilique_et_gave.jpg
12,Montagne,Jeudi 16 juillet,16,Lannemezan,Plateau de Beille,195 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-12Lannemezan-Plateau-de-Beille.gpx,https://upload.wikimedia.org/wikipedia/commons/2/2e/Valier.JPG,Valier,https://fr.wikipedia.org/wiki/Fichier:Valier.JPG
13,Accidentée,Vendredi 17 juillet,17,Muret,Rodez,"198,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-13Muret-Rodez.gpx,https://upload.wikimedia.org/wikipedia/commons/5/54/Rodez-coquelicots480.JPG,Alain Pauziès,https://commons.wikimedia.org/wiki/File:Rodez-coquelicots480.JPG
14,Accidentée,Samedi 18 juillet,18,Rodez,Mende,"178,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-14Rodez-Mende.gpx,https://upload.wikimedia.org/wikipedia/commons/9/98/Figure_du_monstre_qui_d%C3%A9sole_le_Gevaudan.jpg,BnF,http://gallica.bnf.fr/ark:/12148/btv1b84096673
15,Accidentée,Dimanche 19 juillet,19,Mende,Valence,183 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-15Mende-Valence.gpx,https://upload.wikimedia.org/wikipedia/commons/7/71/Chateau_eau_valence_2004-10-30_037.jpg,Jacques FORÊT,https://commons.wikimedia.org/wiki/File:Chateau_eau_valence_2004-10-30_037.jpg
16,Accidentée,Lundi 20 juillet,20,Bourg-de-Péage,Gap,201 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-16BourgdePeage-Gap.gpx,https://upload.wikimedia.org/wikipedia/commons/9/96/Gap001.jpg,Aups,https://commons.wikimedia.org/wiki/File:Gap001.jpg
17,Montagne,Mercredi 22 juillet,22,Digne-les-Bains,Pra Loup,161 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-17DignelesBains-Pra-Loup.gpx,https://upload.wikimedia.org/wikipedia/commons/f/ff/Modelage_aux_boues_aux_thermes_de_Digne.jpg,ADT 04,https://www.flickr.com/photos/alpesdehauteprovence-tourisme/6095909908/in/set-72157627398438673
18,Montagne,Jeudi 23 juillet,23,Gap,Saint-Jean-de-Maurienne,"186,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-18Gap-SaintJeandeMaurienne.gpx,https://upload.wikimedia.org/wikipedia/commons/6/6f/Maurienne_%C3%A0_Saint-Jean-de-Maurienne_%282014%29.JPG,Florian Pépellin,https://commons.wikimedia.org/wiki/File:Maurienne_%C3%A0_Saint-Jean-de-Maurienne_(2014).JPG
19,Montagne,Vendredi 24 juillet,24,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,138 km,https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-19SaintJeandeMaurienne-La-Toussuire.gpx,https://upload.wikimedia.org/wikipedia/commons/8/86/Sybelles_Saint-Colomban.jpg,Accrochoc,https://commons.wikimedia.org/wiki/File:Sybelles_Saint-Colomban.jpg
20,Montagne,Samedi 25 juillet,25,Modane Valfréjus,Alpe d’Huez,"110,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-20Modane-Valfrejus-Alpe-dHuez.gpx,https://upload.wikimedia.org/wikipedia/commons/8/80/Montagne_028.JPG,Simdaperce,https://commons.wikimedia.org/wiki/File:Montagne_028.JPG
21,En ligne,Dimanche 26 juillet,26,Sèvres - Grand Paris Seine Ouest,Paris Champs-Élysées,"109,5 km",https://raw.githubusercontent.com/MaptimeAlpes/tour-de-france-2015/master/data/gpx/MapMyTrack-Route-Tour-de-Force-2015Stage-21Sevres-ParisChampsElysees.gpx,https://upload.wikimedia.org/wikipedia/commons/f/f4/Champs-%C3%89lys%C3%A9es_-_eastern_view_-_20111001.jpg,Bretwa,https://commons.wikimedia.org/wiki/File:Champs-%C3%89lys%C3%A9es_-_eastern_view_-_20111001.jpg
